regime,fusion_set,components,sites_per_layer,ms_saved_per_layer,rank,basis,layer_total_ms,speedup_vs_unfused,layer_measurable,notes
decode_bs32,#10,#10,1,0.0082,4,measured,,,FALSE,
decode_bs32,#1,#1,1,0.0041,5,measured,,,FALSE,
decode_bs32,none (all unfused),-,,0,6,-,,,FALSE,baseline
decode_bs32,#4 / #5 / #11b (router-norm family),#4/#5/#11b,,0,7,structural (0 by shared-producer argument),,,FALSE,"#4/#5/#11b fuse the post-attention RMSNorm into the router, but that norm also feeds the w13 grouped GEMM and the shared expert, so fusing it into the router does not remove it -- worth ~0 per layer unless every K=6144 consumer is fused (#11a), which needs 12 GB of w13 and is unmeasurable here. Scored 0.0 rather than by their standalone chain speedups."
decode_bs256,#10,#10,1,0.0164,1,measured,,,FALSE,
decode_bs256,#3 + #10,#3 + #10,2+1,0.0123,2,additive estimate,,,FALSE,"#1 and #3 compete for ResAdd1 (it folds into either o_proj's epilogue or the post-attention RMSNorm, never both); #10 and #3 likewise compete for ResAdd2 (the merge tail or the next layer's input_layernorm). Sets are therefore ADDITIVE ESTIMATES from independently measured deltas, not measured combinations. additive estimate -- the C500 study measured combinations end-to-end precisely because they do NOT compose additively (LOG-11 S6: shared producers and competition for the same operation). Ranks here are indicative, not measured."
decode_bs256,#1 + #10,#1 + #10,1+1,0.0082,3,additive estimate,,,FALSE,"#1 and #3 compete for ResAdd1 (it folds into either o_proj's epilogue or the post-attention RMSNorm, never both); #10 and #3 likewise compete for ResAdd2 (the merge tail or the next layer's input_layernorm). Sets are therefore ADDITIVE ESTIMATES from independently measured deltas, not measured combinations. additive estimate -- the C500 study measured combinations end-to-end precisely because they do NOT compose additively (LOG-11 S6: shared producers and competition for the same operation). Ranks here are indicative, not measured."
decode_bs256,none (all unfused),-,,0,4,-,,,FALSE,baseline
decode_bs256,#4 / #5 / #11b (router-norm family),#4/#5/#11b,,0,5,structural (0 by shared-producer argument),,,FALSE,"#4/#5/#11b fuse the post-attention RMSNorm into the router, but that norm also feeds the w13 grouped GEMM and the shared expert, so fusing it into the router does not remove it -- worth ~0 per layer unless every K=6144 consumer is fused (#11a), which needs 12 GB of w13 and is unmeasurable here. Scored 0.0 rather than by their standalone chain speedups."
decode_bs256,#3,#3,2,-0.0041,6,measured,,,FALSE,
decode_bs256,#1,#1,1,-0.0082,7,measured,,,FALSE,
prefill_t2048,#1 + #10,#1 + #10,1+1,0.6246,1,additive estimate,,,FALSE,"#1 and #3 compete for ResAdd1 (it folds into either o_proj's epilogue or the post-attention RMSNorm, never both); #10 and #3 likewise compete for ResAdd2 (the merge tail or the next layer's input_layernorm). Sets are therefore ADDITIVE ESTIMATES from independently measured deltas, not measured combinations. additive estimate -- the C500 study measured combinations end-to-end precisely because they do NOT compose additively (LOG-11 S6: shared producers and competition for the same operation). Ranks here are indicative, not measured."
prefill_t2048,#1,#1,1,0.4823,2,measured,,,FALSE,
prefill_t2048,#3 + #10,#3 + #10,2+1,0.2468,3,additive estimate,,,FALSE,"#1 and #3 compete for ResAdd1 (it folds into either o_proj's epilogue or the post-attention RMSNorm, never both); #10 and #3 likewise compete for ResAdd2 (the merge tail or the next layer's input_layernorm). Sets are therefore ADDITIVE ESTIMATES from independently measured deltas, not measured combinations. additive estimate -- the C500 study measured combinations end-to-end precisely because they do NOT compose additively (LOG-11 S6: shared producers and competition for the same operation). Ranks here are indicative, not measured."
prefill_t2048,#10,#10,1,0.1423,4,measured,,,FALSE,
prefill_t2048,#3,#3,2,0.1044,5,measured,,,FALSE,
prefill_t2048,none (all unfused),-,,0,6,-,,,FALSE,baseline
prefill_t2048,#4 / #5 / #11b (router-norm family),#4/#5/#11b,,0,7,structural (0 by shared-producer argument),,,FALSE,"#4/#5/#11b fuse the post-attention RMSNorm into the router, but that norm also feeds the w13 grouped GEMM and the shared expert, so fusing it into the router does not remove it -- worth ~0 per layer unless every K=6144 consumer is fused (#11a), which needs 12 GB of w13 and is unmeasurable here. Scored 0.0 rather than by their standalone chain speedups."
prefill_t8192,#1 + #10,#1 + #10,1+1,3.7212,1,additive estimate,,,FALSE,"#1 and #3 compete for ResAdd1 (it folds into either o_proj's epilogue or the post-attention RMSNorm, never both); #10 and #3 likewise compete for ResAdd2 (the merge tail or the next layer's input_layernorm). Sets are therefore ADDITIVE ESTIMATES from independently measured deltas, not measured combinations. additive estimate -- the C500 study measured combinations end-to-end precisely because they do NOT compose additively (LOG-11 S6: shared producers and competition for the same operation). Ranks here are indicative, not measured."
prefill_t8192,#3 + #10,#3 + #10,2+1,2.6931,2,additive estimate,,,FALSE,"#1 and #3 compete for ResAdd1 (it folds into either o_proj's epilogue or the post-attention RMSNorm, never both); #10 and #3 likewise compete for ResAdd2 (the merge tail or the next layer's input_layernorm). Sets are therefore ADDITIVE ESTIMATES from independently measured deltas, not measured combinations. additive estimate -- the C500 study measured combinations end-to-end precisely because they do NOT compose additively (LOG-11 S6: shared producers and competition for the same operation). Ranks here are indicative, not measured."
prefill_t8192,#1,#1,1,2.3224,3,measured,,,FALSE,
prefill_t8192,#10,#10,1,1.3988,4,measured,,,FALSE,
prefill_t8192,#3,#3,2,1.2943,5,measured,,,FALSE,
prefill_t8192,none (all unfused),-,,0,6,-,,,FALSE,baseline
prefill_t8192,#4 / #5 / #11b (router-norm family),#4/#5/#11b,,0,7,structural (0 by shared-producer argument),,,FALSE,"#4/#5/#11b fuse the post-attention RMSNorm into the router, but that norm also feeds the w13 grouped GEMM and the shared expert, so fusing it into the router does not remove it -- worth ~0 per layer unless every K=6144 consumer is fused (#11a), which needs 12 GB of w13 and is unmeasurable here. Scored 0.0 rather than by their standalone chain speedups."
