exclusion,re_measure,family,fusion,variant,regime,campaign_speedup,control_speedup,delta_rel_withheld,campaign_fused_us,control_fused_us,campaign_floor_us,control_floor_us,control_fused_ticks,campaign_p90_over_p10,control_p90_over_p10,campaign_drift_frac_fused,control_drift_frac_fused,campaign_order_gap_frac,control_order_gap_frac,campaign_speedup_over_ceiling,control_speedup_over_ceiling,measuring_window,card_mib_before,card_mib_after,evidence
TENANT-CONTAMINATED,YES,f01,#1 o_proj + ResAdd,triton,decode_bs4,1.0012,1.0057,0.0045,123.39,111.87,36.91,39.46,3496.0,1.7648,1.6985,-0.4023,-0.3726,0.0078,0.0056,0.9114,0.9157,2026-08-11 14:39:58 - 2026-08-11 14:47:29,0,124498,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 124498/143771 MiB at [hw after ] 2026-08-11 14:47:29 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 14:47:30 it reported pid 2916934 VLLM::Worker_TP0_EP0 (121.6 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#4 ResAdd + RMSNorm + Router,F4,decode_bs4,1.3693,1.4043,0.0256,106.78,99.55,36.91,39.46,3111.0,1.8581,1.872,-0.3502,-0.3964,0.0675,0.0105,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#4 ResAdd + RMSNorm + Router + TopK,F4_topk,decode_bs4,1.8968,1.6766,-0.1161,124.45,108.61,36.91,39.46,3394.0,2.0597,1.675,-0.3563,-0.2945,0.1587,0.0425,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#5 RMSNorm + Router,F5,decode_bs4,1.4241,1.4154,-0.0061,105.38,97.28,36.91,39.46,3040.0,2.0781,1.9161,-0.4114,-0.3968,0.073,0.0335,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#5 RMSNorm + Router + TopK,F5_topk,decode_bs4,1.9584,1.7789,-0.0917,115.71,109.54,36.91,39.46,3423.0,1.9177,1.7697,-0.3368,-0.3224,0.1777,0.0433,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f01,#1 o_proj + ResAdd,triton,decode_bs8,1.0071,0.9991,-0.0079,108.29,131.68,36.91,39.46,4115.0,1.0158,1.7818,-0.0006,-0.3774,0.0,0.0113,0.9167,0.9097,2026-08-11 14:39:58 - 2026-08-11 14:47:29,0,124498,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 124498/143771 MiB at [hw after ] 2026-08-11 14:47:29 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 14:47:30 it reported pid 2916934 VLLM::Worker_TP0_EP0 (121.6 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#4 ResAdd + RMSNorm + Router,F4,decode_bs8,1.3784,0.6116,-0.5563,112.29,80.96,36.91,39.46,2530.0,1.9386,1.0427,-0.3597,-0.0218,0.0837,0.0177,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#4 ResAdd + RMSNorm + Router + TopK,F4_topk,decode_bs8,1.6088,1.6863,0.0482,104.45,106.94,36.91,39.46,3342.0,1.6398,1.6595,-0.3009,-0.2729,0.2829,0.0983,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#5 RMSNorm + Router,F5,decode_bs8,1.3589,0.6414,-0.528,104.32,75.2,36.91,39.46,2350.0,1.9438,1.0373,-0.3952,-0.0059,0.0726,0.0101,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#5 RMSNorm + Router + TopK,F5_topk,decode_bs8,1.8027,0.6382,-0.646,108.38,86.24,36.91,39.46,2695.0,1.7061,1.0289,-0.3068,-0.0046,0.01,0.007,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f01,#1 o_proj + ResAdd,triton,decode_bs16,1.0029,1.0029,-0.0,132.9,117.86,36.91,39.46,3683.0,1.7975,1.6929,-0.3816,-0.3531,0.0079,0.0058,0.9126,0.9129,2026-08-11 14:39:58 - 2026-08-11 14:47:29,0,124498,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 124498/143771 MiB at [hw after ] 2026-08-11 14:47:29 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 14:47:30 it reported pid 2916934 VLLM::Worker_TP0_EP0 (121.6 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
INVALID-HARNESS-FLOOR,YES,f10,#10 Expert Merge + ResAdd,-,decode_bs16,2.1607,3.7394,0.7306,63.23,16.42,36.91,39.46,513.0,2.509,1.37,-0.55,-0.0641,0.0025,0.0545,1.0992,1.9024,2026-08-11 13:37:10 - 2026-08-11 13:39:13,0,0,"control (classic) fused time 16.42 us is BELOW the harness floor that session measured for itself (39.46 us): the timed region did not enclose the work, so the number is not commensurable with the cell it is diffed against"
TENANT-CONTAMINATED,YES,f04f05,#4 ResAdd + RMSNorm + Router,F4,decode_bs16,1.337,1.3728,0.0267,109.89,97.5,36.91,39.46,3047.0,1.9789,1.7758,-0.2892,-0.3745,0.0365,0.081,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#4 ResAdd + RMSNorm + Router + TopK,F4_topk,decode_bs16,1.6595,1.6577,-0.0011,111.81,112.22,36.91,39.46,3507.0,1.6493,1.6834,-0.3008,-0.3051,0.1068,0.1022,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#5 RMSNorm + Router,F5,decode_bs16,1.3921,1.4416,0.0355,100.99,105.73,36.91,39.46,3304.0,1.8908,2.0131,-0.3957,-0.4211,0.054,0.0489,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#5 RMSNorm + Router + TopK,F5_topk,decode_bs16,1.7057,1.6314,-0.0436,116.38,106.75,36.91,39.46,3336.0,1.7975,1.6732,-0.2762,-0.3139,0.1248,0.1196,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f01,#1 o_proj + ResAdd,triton,decode_bs32,0.9923,1.0011,0.0089,127.01,113.15,36.91,39.46,3536.0,1.7407,1.02,-0.3452,0.0003,0.0126,0.002,0.9025,0.9108,2026-08-11 14:39:58 - 2026-08-11 14:47:29,0,124498,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 124498/143771 MiB at [hw after ] 2026-08-11 14:47:29 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 14:47:30 it reported pid 2916934 VLLM::Worker_TP0_EP0 (121.6 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#4 ResAdd + RMSNorm + Router,F4,decode_bs32,1.3817,0.6608,-0.5217,109.34,80.86,36.91,39.46,2527.0,1.8812,1.3012,-0.3718,0.0149,0.0616,0.2606,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#4 ResAdd + RMSNorm + Router + TopK,F4_topk,decode_bs32,1.5624,1.5597,-0.0017,107.07,108.86,36.91,39.46,3402.0,1.6431,1.6926,-0.2973,-0.2625,0.2106,0.2689,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#5 RMSNorm + Router,F5,decode_bs32,1.4159,0.6412,-0.5471,109.82,73.89,36.91,39.46,2309.0,2.3027,1.042,-0.4358,-0.0026,0.0585,0.0168,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#5 RMSNorm + Router + TopK,F5_topk,decode_bs32,1.6654,0.6165,-0.6298,110.37,89.31,36.91,39.46,2791.0,1.7884,1.0195,-0.3419,-0.0052,0.1494,0.0093,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f01,#1 o_proj + ResAdd,triton,decode_bs256,1.0006,1.003,0.0024,212.32,213.76,36.91,39.46,6680.0,1.5025,1.0152,-0.2333,-0.0056,0.0083,0.0011,0.9243,0.9226,2026-08-11 14:39:58 - 2026-08-11 14:47:29,0,124498,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 124498/143771 MiB at [hw after ] 2026-08-11 14:47:29 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 14:47:30 it reported pid 2916934 VLLM::Worker_TP0_EP0 (121.6 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#4 ResAdd + RMSNorm + Router,F4,decode_bs256,1.4593,1.5533,0.0644,130.21,123.84,36.91,39.46,3870.0,1.8403,1.9813,-0.3411,-0.3886,0.0493,0.0665,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#4 ResAdd + RMSNorm + Router + TopK,F4_topk,decode_bs256,1.8637,1.9152,0.0276,130.69,132.64,36.91,39.46,4145.0,1.9046,1.9595,-0.3626,-0.3672,0.1511,0.1686,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#5 RMSNorm + Router,F5,decode_bs256,1.5502,1.5139,-0.0234,133.73,122.66,36.91,39.46,3833.0,1.8412,1.9027,-0.3046,-0.3201,0.0345,0.0739,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#5 RMSNorm + Router + TopK,F5_topk,decode_bs256,1.9651,1.9419,-0.0118,134.91,124.29,36.91,39.46,3884.0,1.9336,1.8247,-0.2315,-0.3102,0.1539,0.1313,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f01,#1 o_proj + ResAdd,triton,decode_bs512,1.0143,0.9515,-0.062,363.2,374.21,36.91,39.46,11694.0,1.1229,1.1533,0.0931,0.1448,0.0016,0.0065,0.9658,0.9034,2026-08-11 14:39:58 - 2026-08-11 14:47:29,0,124498,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 124498/143771 MiB at [hw after ] 2026-08-11 14:47:29 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 14:47:30 it reported pid 2916934 VLLM::Worker_TP0_EP0 (121.6 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#4 ResAdd + RMSNorm + Router,F4,decode_bs512,1.3821,1.5289,0.1062,126.82,127.17,36.91,39.46,3974.0,2.0923,1.8886,-0.3128,-0.3814,0.0703,0.0575,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
